CARTERA;COLOC_TOTAL;CART_VENCIDA;INS_COD;PERIODO;INDICADOR_CARTERA_VENCIDA
Colocaciones de consumo;33132,0000000000;9,00000000;9;202307;2,71640709887722e-02
TOTAL:;3055329,0000000000;13981,00000000;9;202307;4,57593928509827e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;3055329,0000000000;13981,00000000;9;202307;4,57593928509827e-01
Colocaciones a personas - subtotal:;117039,0000000000;80,00000000;9;202307;6,83532839480857e-02
Adeudado por bancos;854823,0000000000;0,00000000;12;202307;0,00000000000000e+00
Colocaciones comerciales;17065494,0000000000;285532,00000000;12;202307;1,67315402648174e+00
Colocaciones para vivienda;13943758,0000000000;111809,00000000;12;202307;8,01857002968640e-01
Colocaciones de consumo;2563226,0000000000;21595,00000000;12;202307;8,42493014661992e-01
TOTAL:;34427301,0000000000;418936,00000000;12;202307;1,21687145907836e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;33572478,0000000000;418936,00000000;12;202307;1,24785546065441e+00
Colocaciones a personas - subtotal:;16506984,0000000000;133404,00000000;12;202307;8,08167015852199e-01
Adeudado por bancos;3717,1310387500;0,00000000;14;202307;0,00000000000000e+00
Colocaciones comerciales;16509690,4292535093;107133,81872515;14;202307;6,48914764236400e-01
Colocaciones para vivienda;13777651,7686064392;5915,19888000;14;202307;4,29332877571945e-02
Colocaciones de consumo;2185252,7467107000;16492,83628500;14;202307;7,54733579894841e-01
TOTAL:;32476312,0756093971;129541,85389015;14;202307;3,98881047788180e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;32472594,9445706494;129541,85389015;14;202307;3,98926707616907e-01
Colocaciones a personas - subtotal:;15962904,5153171383;22408,03516500;14;202307;1,40375676265547e-01
Adeudado por bancos;403078,0000000000;0,00000000;16;202307;0,00000000000000e+00
Colocaciones comerciales;17662317,0000000000;225144,00000000;16;202307;1,27471384416892e+00
Colocaciones para vivienda;10201401,0000000000;4883,00000000;16;202307;4,78659744872297e-02
Colocaciones de consumo;2655636,0000000000;46536,00000000;16;202307;1,75234858994230e+00
TOTAL:;30922432,0000000000;276563,00000000;16;202307;8,94376613068468e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;30519354,0000000000;276563,00000000;16;202307;9,06188905571199e-01
Colocaciones a personas - subtotal:;12857037,0000000000;51419,00000000;16;202307;3,99928848303073e-01
Adeudado por bancos;0,0000000000;0,00000000;28;202307;NA
Colocaciones comerciales;5914691,0000000000;31769,00000000;28;202307;5,37120197826057e-01
Colocaciones para vivienda;1742575,0000000000;301,00000000;28;202307;1,72732880937693e-02
Colocaciones de consumo;244547,0000000000;592,00000000;28;202307;2,42080254511403e-01
TOTAL:;7901813,0000000000;32662,00000000;28;202307;4,13348177184148e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7901813,0000000000;32662,00000000;28;202307;4,13348177184148e-01
Colocaciones a personas - subtotal:;1987122,0000000000;893,00000000;28;202307;4,49393645684563e-02
Adeudado por bancos;16925,4130460000;0,00000000;31;202307;0,00000000000000e+00
Colocaciones comerciales;236110,7702800000;0,00000000;31;202307;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;31;202307;NA
Colocaciones de consumo;17,1094770000;0,00000000;31;202307;0,00000000000000e+00
TOTAL:;253053,2928030000;0,00000000;31;202307;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;236127,8797570000;0,00000000;31;202307;0,00000000000000e+00
Colocaciones a personas - subtotal:;17,1094770000;0,00000000;31;202307;0,00000000000000e+00
Adeudado por bancos;292,0000000000;NA;37;202307;NA
Colocaciones comerciales;17997041,0000000000;316876,00000000;37;202307;1,76071166365626e+00
Colocaciones para vivienda;16451762,0000000000;49899,00000000;37;202307;3,03304898283843e-01
Colocaciones de consumo;4611125,0000000000;10494,00000000;37;202307;2,27580037409526e-01
TOTAL:;39060220,0000000000;377269,00000000;37;202307;9,65865015609231e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;39059928,0000000000;377269,00000000;37;202307;9,65872236118817e-01
Colocaciones a personas - subtotal:;21062887,0000000000;60393,00000000;37;202307;2,86727075922688e-01
Adeudado por bancos:;85753,7420080000;0,00000000;39;202307;0,00000000000000e+00
Colocaciones comerciales:;12850469,8915119991;203784,00000000;39;202307;1,58580971528989e+00
Colocaciones para vivienda:;6563121,9139999999;24229,00000000;39;202307;3,69168824188933e-01
Colocaciones de consumo:;2428544,6722390000;32111,00000000;39;202307;1,32223221450546e+00
TOTAL:;21927890,2197590023;260124,00000000;39;202307;1,18627007611341e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;21842136,4777510017;260124,00000000;39;202307;1,19092745466987e+00
Colocaciones a personas - subtotal:;8991666,5862389989;56340,00000000;39;202307;6,26580172425696e-01
Adeudado por bancos;0,0000000000;0,00000000;41;202307;NA
Colocaciones comerciales;44360,3995218250;0,00000000;41;202307;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;41;202307;NA
Colocaciones de consumo;0,0000000000;0,00000000;41;202307;NA
TOTAL:;44360,3995218250;0,00000000;41;202307;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;44360,3995218250;0,00000000;41;202307;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;41;202307;NA
Adeudado por bancos;NA;NA;49;202307;NA
Colocaciones comerciales;5885176,0000000000;76191,00000000;49;202307;1,29462568324210e+00
Colocaciones para vivienda;1076410,0000000000;438,00000000;49;202307;4,06908148382122e-02
Colocaciones de consumo;455219,0000000000;2800,00000000;49;202307;6,15088561769170e-01
TOTAL:;7416805,0000000000;79429,00000000;49;202307;1,07093283428646e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7416805,0000000000;79429,00000000;49;202307;1,07093283428646e+00
Colocaciones a personas - subtotal:;1531629,0000000000;3238,00000000;49;202307;2,11408898630151e-01
Adeudado por bancos;NA;NA;51;202307;NA
